organization_id,name,industry,address,contact_email,contact_phone,country
41,Prime Digital Media,Media & Broadcasting,Hollywood Blvd Los Angeles CA 90028,tech@primedigital.com,+1-466-891-8542x033,USA
42,SecureNet Solutions,Cybersecurity,Canary Wharf London E14 5AB,soc@securenet.co.uk,001-848-735-1307x801,United Kingdom
43,Evergreen Utilities,Utilities,Gran Via 45 Barcelona 08007,infra@evergreen.es,(247)582-4282x83176,Spain
44,Quantum Analytics,Data & AI Services,5 Shenton Way Singapore 068808,ops@quantumanalytics.sg,001-873-485-9065x195,Singapore
45,Metro Hospitals Group,Healthcare,MG Road Kochi 682016,it@metrohospitals.in,3012943184,India
46,Pacific Shipping Lines,Shipping,Victoria Harbour Hong Kong,infra@pacificship.hk,-5591,Hong Kong
47,Alpine Banking AG,Banking,Bahnhofstrasse 1 Zurich 8001,it@alpinebank.ch,(649)914-4011x8015,Switzerland
48,Ironclad Manufacturing,Manufacturing,Detroit MI 48226,ops@ironcladmfg.com,2426184793,USA
49,SkyHigh Telecom,Telecommunications,Kuala Lumpur City Centre 50088,noc@skyhigh.my,(678)242-8813x418,Malaysia
50,NextGen Retailers,Retail,Dubai Marina Dubai,ops@nextgenretail.ae,001-697-340-6002x33968,UAE
51,CloudNova Systems,Cloud Services,Seattle WA 98101,support@cloudnova.com,(363)956-2047x68902,USA
52,Vertex Energy Solutions,Energy,Calgary AB T2P1J9,infra@vertexenergy.ca,725-354-0197x47879,Canada
53,Oceanic Airlines,Aviation,Sydney Airport NSW 2020,ops@oceanicair.com.au,+1-211-574-3587x8271,Australia
54,MedCore Clinics,Healthcare,Johannesburg 2000,it@medcore.co.za,-7080,South Africa
55,GlobalMart Commerce,E-Commerce,Berlin 10115,tech@globalmart.de,001-743-482-0616,Germany
56,SecureBank Africa,Banking,Nairobi 00100,it@securebank.ke,001-575-216-5847x7934,Kenya
57,Helix Pharma Europe,Pharmaceuticals,Brussels 1000,ops@helixpharma.eu,(669)553-7887,Belgium
58,TransAsia Logistics,Logistics,Bangkok 10110,noc@transasia.co.th,+1-326-547-7184x176,Thailand
59,RedStone Mining,Mining,Perth WA 6000,infra@redstonemining.com.au,001-222-341-9353x51034,Australia
60,InnovaSoft Technologies,Information Technology,Hyderabad 500081,support@innovasoft.in,3626812536,India
61,BlueHarbor Insurance,Insurance,Boston MA 02110,it@blueharbor.com,(629)588-6598x0147,USA
62,Continental Hospitals,Healthcare,Berlin 10117,it@continentalhosp.de,+1-208-408-2802x68789,Germany
63,Atlas Manufacturing Group,Manufacturing,Manchester M1 1AE,ops@atlasmfg.co.uk,+1-240-693-0449x84474,United Kingdom
64,GreenWave Renewables,Renewable Energy,Copenhagen 1050,infra@greenwave.dk,534-587-9857x17068,Denmark
65,DigitalEdge Media,Media & Broadcasting,Toronto ON M5V2T6,tech@digitaledge.ca,821-605-1692,Canada
66,Prime Telecom Nigeria,Telecommunications,Lagos 101233,noc@primetelecom.ng,001-912-289-0575,Nigeria
67,SilverOak Construction,Construction,Dallas TX 75201,ops@silveroakbuild.com,(388)973-3845x1928,USA
68,NovaBank India,Banking,New Delhi 110001,it@novabank.in,-1862,India
69,Pacific Data Systems,Cloud Services,Auckland 1010,support@pacificdata.nz,886.709.2205x9561,New Zealand
70,UrbanRetail Group,Retail,Chicago IL 60601,ops@urbanretail.com,522-656-8806x78579,USA
71,NextEra Utilities,Utilities,Miami FL 33131,infra@nexterautilities.com,455-998-8671x3121,USA
72,Helios Aerospace,Aerospace,Toulouse 31000,ops@heliosaero.fr,(704)933-7584x3468,France
73,MedLife Hospitals,Healthcare,Singapore 238801,it@medlife.sg,(890)660-1171x6714,Singapore
74,GlobalFin Investments,Investment Management,Hong Kong Central,it@globalfin.hk,001-798-626-7668x0786,Hong Kong
75,SmartGrid Energy,Energy,Abu Dhabi,infra@smartgrid.ae,+1-907-464-3222x9429,UAE
76,BluePeak Consulting,IT Services,London EC2R 8AH,support@bluepeak.co.uk,-1147,United Kingdom
77,SecureWave Cyber,Cybersecurity,Tel Aviv 61000,soc@securewave.co.il,849-979-4973x17682,Israel
78,IronGate Logistics,Logistics,Sao Paulo 01000-000,noc@irongate.com.br,(474)687-1498x686,Brazil
79,Zenith Motors,Automotive,Seoul 04524,infra@zenithmotors.kr,355-295-8970x6661,South Korea
80,CloudSphere Ltd,Cloud Services,Dublin D02,it@cloudsphere.ie,6866172064,Ireland
81,NorthBridge Bank,Banking,Edinburgh EH2 2LL,it@northbridgebank.co.uk,468.766.3990x41164,United Kingdom
82,PrimeSteel Industries,Manufacturing,Chennai 600001,ops@primesteel.in,817.721.0220,India
83,Sunrise Telecom,Telecommunications,Jakarta 10220,noc@sunrisetel.id,517-424-3313x758,Indonesia
84,EuroCare Hospitals,Healthcare,Rome 00186,it@eurocare.it,+1-564-394-9285x387,Italy
85,Vertex Retail Europe,Retail,Amsterdam 1012,ops@vertexretail.eu,344.575.5380x951,Netherlands
86,Arctic Energy Corp,Energy,Reykjavik 101,infra@arcticenergy.is,509-858-5823x309,Iceland
87,GlobalAir Cargo,Aviation,Doha 00000,ops@globalaircargo.qa,001-234-458-1165x748,Qatar
88,Quantum Bank Asia,Banking,Manila 1000,it@quantumbank.ph,+1-892-985-2880x813,Philippines
89,BlueShield Insurance,Insurance,Atlanta GA 30303,it@blueshieldins.com,(841)561-3715,USA
90,TransNational Logistics,Logistics,Mexico City 06000,noc@transnational.mx,001-518-816-4949x51226,Mexico
91,Optima Data Centers,Cloud Services,Dubai Internet City,support@optimadc.ae,209-905-3103,UAE
92,Helix BioLabs,Biotechnology,Basel 4051,ops@helixbio.ch,608.582.7845,Switzerland
93,MetroPower Utilities,Utilities,Los Angeles CA 90013,infra@metropower.com,(607)414-4230x27895,USA
94,NextWave Software,Information Technology,Austin TX 78759,support@nextwave.com,(484)388-1068x69738,USA
95,Continental Shipping,Shipping,Rotterdam 3011,noc@continentalship.nl,+1-642-420-1998x83459,Netherlands
96,Prime Mining Corp,Mining,Johannesburg 2001,infra@primemining.co.za,(241)562-6546x13990,South Africa
97,BlueSky Media Group,Media & Broadcasting,Los Angeles CA 90036,tech@blueskymedia.com,-3223,USA
98,GreenField Agriculture,Agriculture,Winnipeg MB R3C4T3,ops@greenfieldagri.ca,403-973-5966x186,Canada
99,Summit Construction Intl,Construction,Kuala Lumpur 50050,infra@summitbuild.my,001-874-868-8216x81537,Malaysia
100,Vertex Global Holdings,Investment Group,New York NY 10005,it@vertexglobal.com,(474)567-8629x7836,USA
